title,combined
Redemption Day,"when the love of his life is kidnapped and held for ransom by terrorists, a war hero brad paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces. hichamhajji action drama thriller"
Benedetta,"a 17th-century nun in italy suffers from disturbing religious and erotic visions. she is assisted by a companion, and the relationship between the two women develops into a romantic love affair. paulverhoeven biography drama romance"
Bellbottom,"when an indian commercial airliner is hijacked by terrorists in the mid 1980s, a government agent is tasked with rescuing the 210 hostages. ranjittewari action thriller"
Shiddat,"a passionate love story involving two couples which highlights the contrast between a regular, mature yet egoistic husband and a unique, happy go lucky, enamored, overzealous boy chasing after the love of his life. kunaldeshmukh romance"
Werewolves Within,feature adaptation of the video game where werewolves attack a small town. joshruben comedy horror mystery
Karnan,"karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer. mariselvaraj action drama"
The Hating Game,"resolving to achieve professional success without compromising her ethics, lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis joshua, a rivalry that is complicated by her growing attraction to him. peterhutchings comedy romance"
Marcel the Shell with Shoes On,a cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his airbnb with his friends. deanfleischercamp animation comedy drama
The Innocents,"during the bright nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. in this original and gripping supernatural thriller, playtime takes a dangerous turn. eskilvogt drama fantasy horror"
Annette,a stand-up comedian and his opera singer wife have a two-year-old daughter with a surprising gift. leoscarax drama musical romance
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,tanjiro ventures to the south-southeast where he encounters a cowardly young man named zenitsu agatsuma. he is a fellow survivor from final selection and his sparrow asks tanjiro to help keep him in line. haruosotozaki animation action fantasy
The Boss Baby: Family Business,"the templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business. tommcgrath animation adventure comedy"
Below Zero,"on a lonely road, a prison transport is brutally assaulted. martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him. lluísquílez action adventure crime"
Vivo,"vivo, sony pictures animation's first-ever musical adventure featuring all-new original songs from lin-manuel miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation. kirkdemicco,brandonjeffords animation adventure comedy"
A Classic Horror Story,"in this gruesome suspense film, strangers traveling in southern italy become stranded in the woods, where they must fight desperately to get out alive. robertodefeo,paolostrippoli drama horror mystery"
Pleasure,"bella cherry arrives in los angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world. ninjathyberg drama"
After Yang,"in a near future, a family reckons with questions of love, connection, and loss after their a.i. helper unexpectedly breaks down. kogonada drama sciencefiction"
15/07: Break of Dawn,"dramatisation based on real events, brings together different people during an attempted coup on the bosphorus bridge in istanbul in 2016. volkankocatürk action drama war"
The Last Letter from Your Lover,a pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965. augustinefrizzell drama romance
Mother/Android,"in a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety. mattsontomlin drama sciencefiction thriller"
Night Teeth,"a college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across la. but when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive. adamrandall action crime drama"
SAS: Red Notice,a small army of well trained criminals led by grace lewis have hijacked a train deep beneath the english channel. magnusmartens action thriller
The Kissing Booth 3,"it's the summer before elle evans is set to head off to college, and she has a big decision to make. vincemarcello comedy romance"
Intrusion,"a woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion. adamsalky action drama mystery"
8-Bit Christmas,"in 1980s chicago, a 10-year-old sets out on a quest to get the christmas gift of his generation: the latest and greatest video-game system. michaeldowse comedy family"
